GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Autogex,org.eu.autogex.export,MermaidExporter,6,309,3,23,0,70,3,18,0,8
Autogex,org.eu.autogex.export,GraphvizExporter,2,284,3,21,0,61,3,18,0,9
Autogex,org.eu.autogex.trace,ExecutionStep,0,66,0,6,0,9,0,6,0,3
Autogex,org.eu.autogex.trace,ExecutionTrace,0,103,0,4,0,18,0,7,0,5
Autogex,org.eu.autogex.core,AbstractAutomaton,0,64,0,6,0,15,0,8,0,5
Autogex,org.eu.autogex.core,Automaton,0,5,0,0,0,1,0,1,0,1
Autogex,org.eu.autogex.core,State,0,72,0,12,0,12,0,12,0,6
Autogex,org.eu.autogex.core,Transition,0,37,0,4,0,4,0,5,0,3
Autogex,org.eu.autogex.core,AbstractAutomatonBuilder,0,95,0,8,0,22,0,12,0,8
Autogex,org.eu.autogex.regex,Regex,0,38,0,0,0,12,0,6,0,6
Autogex,org.eu.autogex.algorithms,ThompsonConstructor,0,62,0,0,0,13,0,4,0,4
Autogex,org.eu.autogex.algorithms,Minimizer,0,452,1,49,0,100,1,34,0,10
Autogex,org.eu.autogex.algorithms,ThompsonConstructor.Fragment,0,9,0,0,0,1,0,1,0,1
Autogex,org.eu.autogex.algorithms,ThompsonConstructor.AstVisitor,0,329,0,4,0,54,0,12,0,10
Autogex,org.eu.autogex.algorithms,Converter,0,354,0,34,0,73,0,26,0,9
Autogex,org.eu.autogex,AutoGex,1,23,1,3,1,7,1,4,0,3
Autogex,org.eu.autogex.models,ENFA,0,148,1,13,0,28,1,10,0,4
Autogex,org.eu.autogex.models,ENFA.Builder,0,55,0,0,0,13,0,7,0,7
Autogex,org.eu.autogex.models,DFA,0,110,0,12,0,20,0,9,0,3
Autogex,org.eu.autogex.models,NFA.Builder,0,51,0,0,0,12,0,6,0,6
Autogex,org.eu.autogex.models,NFA,0,86,0,4,0,15,0,5,0,3
Autogex,org.eu.autogex.models,DFA.Builder,0,44,0,0,0,11,0,5,0,5
Autogex,org.eu.autogex.regex.ast,RegexNode.OptionalNode,0,24,0,2,0,5,0,4,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.UnionNode,0,21,0,0,0,3,0,3,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.WildcardNode,0,9,0,0,0,3,0,3,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.LiteralNode,0,14,0,0,0,3,0,3,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.PlusNode,0,24,0,2,0,5,0,4,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.ConcatNode,0,21,0,0,0,3,0,3,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.CharClassNode,0,21,0,0,0,4,0,3,0,3
Autogex,org.eu.autogex.regex.ast,RegexNode.StarNode,0,24,0,2,0,5,0,4,0,3
Autogex,org.eu.autogex.regex.parser,RegexParser,0,428,9,79,0,100,9,49,0,14
